Designator,Mid X,Mid Y,Rotation,Layer
BALL-D15.17.19.23.25.27.29.31,187.0,-99.99,180.0,bottom
BALL-D32.34.36.38.40.42.44.46,113.0,-99.99,180.0,bottom
BNO55,155.8,-66.45,90.0,top
BZ1,120.025,-80.675,270.0,top
C1,161.26,-134.15,270.0,top
C10,181.819805,-131.819805,170.0,bottom
C11,167.261351,-141.574579,192.5,bottom
C12,150.0,-145.0,215.0,bottom
C13,132.779246,-141.601646,237.5,bottom
C14,118.180195,-131.819805,260.0,bottom
C15,108.425421,-117.261351,282.5,bottom
C16,105.0,-100.0,305.0,bottom
C17,108.425421,-82.779246,327.5,bottom
C18,118.145017,-68.180195,347.5,bottom
C19,132.779246,-58.425421,12.5,bottom
C2,154.32,-134.09,270.0,top
C20,153.22,-67.79,0.0,top
C3,147.32,-134.085113,270.0,top
C4,150.0,-55.0,35.0,bottom
C5,167.220754,-58.398354,57.5,bottom
C6,181.819805,-68.180195,80.0,bottom
C7,191.574579,-82.738649,102.5,bottom
C8,195.0,-100.0,125.0,bottom
C9,191.66,-117.03,147.5,bottom
D1,150.0,-55.0,180.0,top
D10,132.779246,-141.574579,337.5,top
D11,118.180195,-131.819805,315.0,top
D12,108.425421,-117.220754,292.5,top
D13,105.0,-100.0,270.0,top
D14,108.425421,-82.779246,247.5,top
D15,118.180195,-68.180195,225.0,top
D16,132.779246,-58.425421,202.5,top
D2,167.220754,-58.425421,157.5,top
D3,181.819805,-68.180195,135.0,top
D4,191.574579,-82.779246,112.5,top
D5,195.0,-100.0,90.0,top
D6,191.574579,-117.220754,67.5,top
D7,181.819805,-131.819805,45.0,top
D8,167.220754,-141.574579,22.5,top
D9,150.0,-145.0,0.0,top
"LINE-A9.11.13,D22.24.26",147.0,-90.0,180.0,top
MOTOR-D2.3.4.5.6.7.8.9,147.0,-109.0,0.0,top
R1,171.15,-149.1,270.0,top
R2,156.36,-77.58,270.0,top
R3,169.08,-72.62,90.0,top
TACTSWITCH1,131.38,-157.5,0.0,top
TACTSWITCH2,146.605,-157.5,180.0,top
TACTSWITCH3,161.605,-157.5,0.0,top
TOGGLESWITCH1,171.13,-157.515,0.0,top
U1,145.0,-100.00125,90.0,top
電源,140.98,-128.52,0.0,bottom
