Designator,Footprint,Quantity,Value,LCSC Part #
A1,TEENSY4.1,1,TEENSY4.1,
BNO1,BNO055,1,Conn_01x08_Pin,
BZ1,Buzzer UDX01CLFPH,1,Buzzer,
"C1, C6, C7, C8, C9",0603,5,0.1μF,
C10,CP_Radial_D6.3mm_P2.50mm,1,100uF,
C11,0603,1,10uF,
C12,0603,1,0.1uF,
"C2, C27, C28, C29, C3, C30, C31, C32, C4, C5",0402,10,0.1uF,
"CAMERA1, CAMERA2",GROVE-HW4-2.0,2,Conn_01x04_Pin,
"CATCHSENSOR1, J1, LED1",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,3,Conn_01x02_Pin,
D1,D_SMA,1,D_Schottky,
"ENCODER1, ENCODER2, ENCODER3, ENCODER4",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,4,Conn_01x04_Pin,
F1,MFR300,1,Fuse,
J2,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J6,FFC conector 0.5mm Pich,1,Conn_01x08_Pin,
KICK1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
LINE1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,R,
"R5, R6",0603,2,1kΩ,
U1,XIAO-RP2040-DIP,1,XIAO_RP2040_Back_Ver,
"U2, U3",RU_16_ADI,2,ADM3202ARUZ-REEL7,
